time (seconds); nrOfGames; discountFactor; exploreProbability; learningRate; result; score; 
1292098733; 434; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292098737; 435; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292098740; 436; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292098743; 437; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292098747; 438; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292098750; 439; 0.900000; 0.050000; 0.050000; "LOST"; -0.906250; 
1292099118; 540; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292099122; 541; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292099125; 542; 0.900000; 0.050000; 0.050000; "LOST"; -0.793750; 
1292099128; 543; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292099132; 544; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292099135; 545; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292099139; 546; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292099144; 547; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292099148; 548; 0.900000; 0.050000; 0.050000; "LOST"; -0.875000; 
1292099151; 549; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292099525; 650; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292099528; 651; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292099531; 652; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292099535; 653; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292099540; 654; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292099546; 655; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292099550; 656; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292099555; 657; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292099559; 658; 0.900000; 0.050000; 0.050000; "LOST"; -0.825000; 
1292099562; 659; 0.900000; 0.050000; 0.050000; "LOST"; -0.825000; 
1292099919; 760; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292099923; 761; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292099929; 762; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292099932; 763; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292099935; 764; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292099939; 765; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292099942; 766; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292099946; 767; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292099949; 768; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292099952; 769; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292100331; 870; 0.900000; 0.050000; 0.050000; "LOST"; -0.793750; 
1292100334; 871; 0.900000; 0.050000; 0.050000; "LOST"; -0.793750; 
1292100338; 872; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292100341; 873; 0.900000; 0.050000; 0.050000; "LOST"; -0.793750; 
1292100345; 874; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292100348; 875; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292100351; 876; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292100355; 877; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
